Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2026-05-01;0000;0;1002,3;null;1002,3;1001,6;0;29;26,4;24,2;27,1;26,4;24,2;23,6;12,5;88;82;87;353;2,9;,6;
2026-05-01;0100;0;1003,1;1010,3;1003,1;1002,2;0;28;26,1;24,5;26,4;26,1;24,6;24,2;12,5;91;87;91;13;2,2;,6;
2026-05-01;0200;0;1003,6;1010,8;1003,6;1003,1;0;28;26;24,3;26,1;25,9;24,5;24,3;12,5;92;90;90;46;2,2;,5;
2026-05-01;0300;0;1004,1;1011,3;1004,2;1003,6;0;27;25,7;24;26;25,7;24,3;24;12,5;91;89;91;353;1,8;,3;
2026-05-01;0400;0;1004,4;1011,6;1004,5;1004,1;0;27;25,9;23,7;25,9;25,4;24;23,7;12,5;92;87;87;59;2;1;
2026-05-01;0500;0;1003,7;1010,9;1004,4;1003,7;0;27;25,3;23,5;26,1;25,2;23,8;23,5;12,5;90;86;90;347;2;,3;
2026-05-01;0600;0;1003,3;1010,5;1003,7;1003,3;0;26;25,2;23,5;25,3;25;23,7;23,3;12,5;91;89;91;5;1;,4;
2026-05-01;0700;0;1003,1;1010,3;1003,3;1003;0;26;25,2;23,9;25,3;25,1;23,9;23,5;12,5;92;91;92;219;1,3;,2;
2026-05-01;0800;17;1003,6;1010,9;1004,1;1003;,1;26;23,1;22,6;25,8;22,9;23,9;21,9;12,5;97;83;97;117;8;2,1;
2026-05-01;0900;7,6;1003,6;1010,9;1003,7;1003,4;0;25;24;23,5;24;23,1;23,5;22,7;12,4;98;97;97;49;6,4;1,3;
2026-05-01;1000;,2;1003,8;1011,1;1003,8;1003,4;,3;25;24;23,6;24,1;23,9;23,7;23,4;12,4;98;97;97;243;2,1;,6;
2026-05-01;1100;0;1005,1;1012,4;1005,1;1003,8;89;25;24,4;24;24,5;23,9;24,1;23,5;12,4;98;97;98;27;1,9;,3;
2026-05-01;1200;,2;1006,1;1013,4;1006,1;1005,1;311,1;26;25,3;24,7;25,3;24,4;24,7;24;12,8;98;96;96;207;2,3;,4;
2026-05-01;1300;0;1007,1;1014,3;1007,1;1006,1;1189,9;28;27,9;24,9;27,9;25,3;25,4;24,1;13,4;97;82;84;10;3,2;1,2;
2026-05-01;1400;0;1007,2;1014,4;1007,4;1007,1;1731,8;30;29,7;25,7;29,7;27,9;25,7;24,2;13,4;85;76;79;27;3,2;,7;
2026-05-01;1500;0;1006,9;1014,1;1007,2;1006,9;1226,9;32;28,6;24,3;30,4;28,6;25,9;24;13,3;79;73;78;47;5,8;2,1;
2026-05-01;1600;,2;1006,1;1013,3;1006,9;1006,1;624,7;31;27;25,2;28,8;26,8;25,2;24;13,5;90;76;90;34;6,8;2;
2026-05-01;1700;,2;1005,1;1012,3;1006,1;1005;1303,1;30;29;24,9;29,3;27;26,1;24,4;13,5;91;77;78;26;5,6;1,6;
2026-05-01;1800;0;1004;1011,1;1005,1;1003,9;1379,7;32;29,7;22,8;30,3;28,9;25;22,5;13,4;78;65;67;40;5,2;1,9;
2026-05-01;1900;0;1003;1010,1;1004;1003;813,8;33;28,9;24,1;29,9;28,8;24,3;23;13,4;76;67;75;131;5,2;1,8;
2026-05-01;2000;0;1002,8;1010;1003;1002,8;523,4;32;27,8;24;29,1;27,8;24,7;23,8;13,1;80;75;80;297;4,1;,7;
2026-05-01;2100;0;1003;1010,2;1003,1;1002,8;126,3;31;27;24,9;27,8;26,9;25,2;24;12,7;89;80;88;341;2,5;,4;
2026-05-01;2200;4,4;1003,1;1010,3;1003,3;1002,9;29,2;29;25,7;24,8;27;25,7;25,3;24,2;12,6;95;86;95;342;2,8;,2;
2026-05-01;2300;0;1003,9;1011,1;1003,9;1003,1;0;28;25,9;25,2;25,9;25,7;25,3;24,8;12,6;96;95;96;282;,9;,5;
2026-05-02;0000;0;1004,2;null;1004,2;1003,8;0;28;25,6;25;25,9;25,6;25,3;25;12,5;97;96;96;102;,9;,2;
2026-05-02;0100;0;1004,9;1012,1;1004,9;1004,2;0;27;25,5;24,8;25,6;25,3;25;24,5;12,5;97;95;96;61;1,1;,6;
2026-05-02;0200;0;1005,1;1012,3;1005,1;1004,9;0;27;26,3;25,2;26,4;25,5;25,3;24,8;12,5;96;93;94;74;2,2;1;
2026-05-02;0300;,2;1005,4;1012,6;1005,4;1005,1;0;27;26,3;25,3;26,4;26,2;25,4;25,3;12,5;95;94;94;63;2,3;,8;
2026-05-02;0400;0;1005,4;1012,6;1005,5;1005,4;0;27;26,1;25;26,3;26,1;25,4;25;12,5;95;94;94;37;2,3;1;
2026-05-02;0500;,2;1005,1;1012,3;1005,4;1005,1;0;27;25,6;24,5;26,1;25,6;25;24,4;12,5;94;92;94;39;2,9;,8;
2026-05-02;0600;,2;1004,2;1011,4;1005,1;1004,2;0;27;25,4;24,4;25,6;25,3;24,6;24,4;12,5;95;94;94;59;2,8;1;
2026-05-02;0700;0;1003,7;1010,9;1004,2;1003,7;0;27;25,1;24;25,4;25,1;24,4;24;12,5;95;93;94;74;2,4;,7;
2026-05-02;0800;0;1003,8;1011;1004;1003,7;0;26;25;23,8;25,2;24,9;24;23,8;12,5;94;92;93;59;1,9;,6;
2026-05-02;0900;0;1004,5;1011,8;1004,5;1003,8;0;26;24,7;23,6;25,1;24,7;23,8;23,6;12,4;93;92;93;29;2,1;,6;
2026-05-02;1000;0;1005,2;1012,5;1005,2;1004,5;1;26;24,8;23,4;24,8;24,5;23,6;23,4;12,4;94;92;92;52;2,3;1;
2026-05-02;1100;0;1006,1;1013,4;1006,1;1005,2;174,9;26;25,5;23,3;25,8;24,8;23,8;23,1;12,5;92;87;88;34;2,5;1,2;
2026-05-02;1200;0;1007,1;1014,3;1007,1;1006,1;899,6;28;27,3;23,6;28;25,5;24,3;23,1;13,4;89;78;80;44;3,1;1,1;
